Line;Chinese;Pinyin;Translation;NumberOfWords
296;在这河里游泳危险;zai4 zhe4 he2 li3 you2 yong3 wei1 xian3 ;This river is dangerous to bathe in.;8
297;许多灯照亮了街道;xu3 duo1 deng1 zhao4 liang4 le jie1 dao4 ;The street is illumined by many lights.;8
298;她会说日语和英语;ta1 kuai4 shuo1 ri4 yu3 huo4 Ying1 yu3 ;She can speak Japanese as well as English.;8
299;他到十一点才回家;ta1 dao4 shi2 yi1 dian3 cai2 hui2 jia1 ;Not until eleven o'clock did he come home.;8
300;我的钟一定是坏了;wo3 de zhong1 yi1 ding4 shi4 huai4 le ;There must be something wrong with my clock.;8
301;事故发生在六点钟;shi4 gu4 fa1 sheng1 zai4 liu4 dian3 zhong1 ;The accident happened at six o'clock.;8
302;我只懂得一点法语;wo3 zhi3 dong3 de yi1 dian3 fa3 yu3 ;I have only a limited understanding of French.;8
303;他欢喜得说不出来;ta1 huan1 xi3 de shuo1 bu4 chu1 lai ;In the fullness of his joy, he could hardly speak.;8
304;他去邮局买些邮票;ta1 qu4 you2 ju2 mai3 xie1 you2 piao4 ;He went to the post-office to buy some stamps.;8
305;书页因年久而变黄;shu1 ye4 yin1 nian2 jiu3 er2 bian4 huang2 ;The leaves of the book had yellowed with age.;8
306;让我们友好地谈话;rang4 wo3 men you3 hao3 de tan2 hua4 ;Let's keep the conversation on a friendly plane.;8
307;全校在大礼堂集合;quan2 xiao4 zai4 da4 li3 tang2 ji2 he2! ;The whole school (was) assembled in the main hall.;8
308;你我都不会说汉语;ni3 wo3 dou1 bu4 hui4 shuo1 Han4 yu3! ;You're no more capable of speaking Chinese than I am.;8
309;黑板在教室的前面;hei1 ban3 zai4 jiao4 shi4 de qian2 mian ;The blackboard is in the front of the classroom.;8
310;请医生开点咳嗽药;qing3 yi1 sheng1 kai1 dian3 ke2 sou yao4! ;Ask the doctor to prescribe something for that cough.;8
311;这种菜好吃不好做;zhe4 zhong3 cai4 hao3 chi1 bu4 hao3 zuo4! ;This dish is delicious but rather a trouble to prepare.;8
312;他的头发已剪短了;ta1 de tou2 fa yi3 jian3 duan3 le ;His hair has been cut short.;8
313;我们应当遵守法律;wo3 men ying1 dang1 zun1 shou3 fa3 lu:4 ;We should obey the law.;8
314;没有什么可害怕的;mei2 you3 shen2 me ke3 hai4 pa4 de! ;There's nothing to be afraid of.;8
315;我再也不能忍受了;wo3 zai4 ye3 bu4 neng2 ren3 shou4 le ;I can't stick it any more.;8
316;他是个有个性的人;ta1 shi4 ge4 you3 ge4 xing4 de ren2 ;He is a man of individuality.;8
317;会议每年举行一次;hui4 yi4 mei3 nian2 ju3 xing2 yi1 ci4 ;The meeting is held yearly.;8
318;他的头一阵阵地痛;ta1 de tou yi1 zhen4 zhen4 di4 tong4 ;His head throbbed with pain.;8
319;针刺进了她的手指;zhen1 ci4 jin4 le ta1 de shou3 zhi3 ;The needle pierced her finger.;8
320;江河大多流入海洋;jiang1 he2 da4 duo1 liu2 ru4 hai3 yang2! ;Most rivers flow into the sea.;8
321;他们要求立即付款;ta1 men yao1 qiu2 li4 ji2 fu4 kuan3 ;They demand prompt payment.;8
322;请不要责怪你自己;qing3 bu4 yao4 ze2 guai4 ni3 zi4 ji3 ;Please don't blame yourself.;8
323;我们遇到四架敌机;wo3 men yu4 dao4 si4 jia4 di2 ji1! ;We encountered four enemy aircraft.;8
324;苹果中好几个烂了;ping2 guo3 zhong4 hao3 ji3 ge4 lan4 le ;Several of the apples are bad.;8
325;他的叔叔教他法语;ta1 de shu1 shu jiao4 ta1 fa3 yu3 ;His uncle instructed him in French.;8
326;这些页数次序不对;zhe4 xie ye4 shuo4 ci4 xu4 bu4 dui4 ;The pages aren't in proper order.;8
327;贸易促进工业发展;mao4 yi4 cu4 jin4 gong1 ye4 fa1 zhan3 ;Trade helps industry to develop.;8
328;他穿着一套黑西装;ta1 chuan1 zhuo2 yi1 tao4 hei1 xi1 zhuang1 ;He is wearing a black suit.;8
329;她是个真正的专家;ta1 shi4 ge4 zhen1 zheng4 de zhuan1 jia1 ;She is a real professional.;8
330;花园的宽度为六米;hua1 yuan2 de kuan1 du4 wei4 liu4 mi3 ;The garden is six meters in width.;8
331;他是为历史学教授;ta1 shi4 wei4 li4 shi3 xue2 jiao4 shou4 ;He is a professor of history.;8
332;巴西出口大量咖啡;Ba1 xi1 chu1 kou3 da4 liang4 ka1 fei1 ;Brazil exports a lot of coffee.;8
333;他没多少文化修养;ta1 mo4 duo1 shao wen2 hua4 xiu1 yang3 ;He is a man of little culture.;8
334;病人常常虚弱无力;bing4 ren2 chang2 chang2 xu1 ruo4 wu2 li4 ;A sick person is often feeble.;8
335;他们约定不久见面;ta1 men yue1 ding4 bu4 jiu3 jian4 mian4 ;They made a date to meet soon.;8
336;他把网球打过了网;ta1 ba3 wang3 qiu2 da3 guo4 le wang3 ;He hit the tennis ball over the net.;8
337;我们用力挤过人群;wo3 men yong4 li4 ji3 guo4 ren2 qun2 ;We thrust our way through the crowd.;8
338;我们要做陆地旅行;wo3 men yao4 zuo4 lu4 di4 lu:3 xing2 ;We will have an overland journey.;8
339;我正在逐字的翻译;wo3 zheng4 zai4 zhu2 zi4 de fan1 yi4 ;I am making a verbal translation.;8
340;印度在中国的南边;Yin4 du4 zai4 Zhong1 guo2 de nan2 bian1 ;India is to the south of China.;8
341;我们只好放弃汽车;wo3 men zhi3 hao3 fang4 qi4 qi4 che1 ;We'll have to dispense with a car.;8
342;这条船沉下四英寻;zhe4 tiao2 chuan2 chen2 xia4 si4 ying1 xun2 ;The ship sank in four fathoms.;8
343;她毕生致力于科学;ta1 bi4 sheng1 zhi4 li4 yu2 ke1 xue2 ;She dedicated her life to science.;8
344;这个港口是天然港;zhe4 ge4 gang3 kou3 shi4 tian1 ran2 gang3 ;This harbor is a natural harbor.;8
345;酸把地毯烧了个洞;suan1 ba3 di4 tan3 shao1 le ge4 dong4 ;The acid burnt a hole in the carpet.;8
346;他从人群中挤过去;ta1 zong4 ren2 qun2 zhong4 ji3 guo4 qu ;He forced his way through the crowd.;8
347;我并不完全同意你;wo3 bing4 bu4 wan2 quan2 tong2 yi4 ni3 ;I do not altogether agree with you.;8
348;这块布料染的不好;zhe4 kuai4 bu4 liao4 ran3 de bu4 hao3 ;This piece of cloth has bad coloration.;8
349;阳台是有墙的平台;yang2 tai2 shi4 you3 qiang2 de ping2 tai2 ;A balcony is a platform with a wall.;8
350;这场戏总算结束了;zhe4 chang3 xi4 zong3 suan4 jie2 shu4 le ;The play came to an end after all.;8
351;体育运动有益健康;ti3 yu4 yun4 dong4 you3 yi4 jian4 kang1 ;Athletic sports are good to the health.;8
352;别着急,安心养病;bie4 zhao2 ji2 an1 xin1 yang3 bing4 ;Just take care of yourself and don't worry.;8
353;西湖美得难以描述;xi1 hu2 mei3 de nan2 yi3 miao2 shu4 ;The West Lake was beautiful beyond description.;8
354;请递给我一张纸巾;qing3 di4 ji3 wo3 yi1 zhang1 zhi3 jin1 ;Please pass me a piece of paper handkerchief.;8
355;温度有细微的变化;wen1 du4 you3 xi4 wei1 de bian4 hua4 ;There is an imperceptible change in temperature.;8
356;他上午十一点才醒;ta1 shang4 wu3 shi2 yi1 dian3 cai2 xing3 ;He didn't wake up until 11 o'clock in the morning.;8
357;他擦去铅笔的痕迹;ta1 ca1 qu4 qian1 bi3 de hen2 ji1 ;He erases pencil marks.;8
358;她把孩子抱在怀里;ta1 ba3 hai2 zi bao4 zai4 huai2 li3! ;She nestled the baby in her arms.;8
359;他被一头野猪袭击;ta1 bei4 yi1 tou2 ye3 zhu1 xi2 ji1 ;He was attacked by a wild boar.;8
360;我们在黑暗中摸索;wo3 men zai4 hei1 an4 zhong4 mo1 suo ;We groped amid the darkness.;8
361;我只耽搁你几分钟;wo3 zhi3 dan1 ge ni3 ji3 fen1 zhong1 ;I'll only keep you a few minutes.;8
362;那不是很恰当的话;na4 bu2 shi4 hen3 qia4 dang4 de hua4 ;That was not a very happy remark.;8
363;熊猫是珍贵的动物;xiong2 mao1 shi4 zhen1 gui4 de dong4 wu4 ;Pandas are precious creatures.;8
364;鸽子是和平的象征;ge1 zi3 shi4 he2 ping2 de xiang4 zheng1 ;The dove is the symbol of peace.;8
365;我们宁死而不投降;wo3 men ning2 si3 er2 bu4 tou2 xiang2 ;We would rather die than surrender.;8
366;码头工人开始卸货;ma3 tou2 gong1 ren2 kai1 shi3 xie4 huo4 ;Dockers started unloading the ship.;8
367;小孩有柔软的身体;xiao3 hai2 you3 rou2 ruan3 de shen1 ti3 ;Little babies have lithe bodies.;8
368;她讲了一辈子中文;ta1 jiang3 le yi1 bei4 zi Zhong1 wen2 ;She has spoken Chinese all her life.;8
369;饲养员正在喂动物;si4 yang3 yuan2 zheng4 zai4 wei4 dong4 wu4 ;The keeper is feeding the animals.;8
370;他的画在画廊展出;ta1 de hua4 zai4 hua4 lang2 zhan3 chu1 ;His pictures were showed in the gallery.;8
371;你走时别忘了锁门;ni3 zou3 shi2 bie4 wang4 le suo3 men2 ;Don't neglect to lock the door when you leave.;8
372;门前挂着一幅门帘;men2 qian2 gua4 zhuo2 yi1 fu2 men2 lian2 ;A portiere was hanging in front of the door.;8
373;她体重为60公斤;ta1 ti3 zhong4 wei604 gong1 jin1! ;She weighs 60 kilos.;8
374;我要报一宗盗窃案;wo3 yao4 bao4 yi1 zong1 dao4 qie4 an4 ;I want to report a theft.;8
375;她的两只胳膊麻痹;ta1 de liang3 zhi3 ge1 bo ma2 bi4 ;She is paralyzed in both arms.;8
376;他的歌充满了忧伤;ta1 de ge1 chong1 man3 le you1 shang1 ;His songs are full of dirge.;8
377;他是那个团的耻辱;ta1 shi4 nei4 ge4 tuan2 de chi3 ru4 ;He was a dishonor to his regiment.;8
378;鹿的斑点是黄色的;lu4 de ban1 dian3 shi4 huang2 se4 de ;The dapple of the deer is yellow.;8
379;他悲伤地绞紧双手;ta1 bei1 shang1 de jiao3 jin3 shuang1 shou3 ;He wrung his hands in sorrow.;8
380;这把重斧头不好用;zhe4 ba3 zhong4 fu3 tou2 bu4 hao3 yong4 ;The heavy axe was awkward to use.;8
381;他用鞭子策马前行;ta1 yong4 bian1 zi3 ce4 ma3 qian2 xing4 ;He urged the horses on with a whip.;8
382;他叫侍者拿菜单来;ta1 jiao4 shi4 zhe3 na2 cai4 dan1 lai2 ;He called the waiter to bring the menu.;8
383;窝藏罪犯是犯法的;wo1 cang2 zui4 fan4 shi4 fan4 fa3 de ;Harboring criminals is an offence in law.;8
384;我们的船逆流而上;wo3 men de chuan2 ni4 liu2 er2 shang4 ;Our ship stemmed on against the current.;8
385;这个电钮接通电流;zhe4 ge4 dian4 niu3 jie1 tong1 dian4 liu2 ;This button switches the current on.;8
386;他对舆论毫不关心;ta1 dui4 yu2 lun4 hao2 bu2 guan1 xin1 ;He cares not a whit for public opinion.;8
387;小溪突然转向东流;xiao3 xi1 tu1 ran2 zhuan3 xiang4 dong1 liu2 ;The stream takes a sudden bend to the east.;8
388;我看上去怎么样？;wo3 kan4 shang4 qu4 zen3 me yang4? ;How do I look?;8
389;我能试穿一下吗？;wo3 neng2 shi4 chuan1 yi1 xia4 ma?! ;May I try it on?;8
390;他下班回家了吗？;ta1 xia4 ban1 hui2 jia1 le ma?! ;Is he home from work?;8
391;喔！多累的一天！;o1! ;duo1 le4i de yi1 tia1n!###Oh, what a tiring day!;8
392;你的约会怎么样？;ni3 de yue1 hui4 zen3 me yang4? ;How was your date?;8
393;你认为你能来吗？;ni3 ren4 wei2 ni3 neng2 lai2 ma?! ;Do you think you can come?;8
394;请问我搞对了吗?;qing3 wen4 wo3 gao3 dui4 le ma? ;Have I got it right, please?;8
395;出去吃晚餐如何？;chu1 qu4 ji2 wan3 can1 ru2 he2? ;How about going out for dinner?;8
396;你们有空房间吗？;ni3 men you3 kong4 fang2 jian1 ma?! ;Do you have a room available?;8
397;我不愿再见到你！;wo3 bu4 yuan4 zai4 jian4 dao4 ni3! ;I don't want to see your face!;8
398;你去哪里度假了？;ni3 qu4 na3 li du4 jia4 le?! ;Where did you go for your vacation?;8
399;糟糕!我把伞丢了;zao1 gao1! wo3 ba3 san3 diu1 le ;Damnation! I've lost my umbrella.;8
400;你会说什么语言？;ni3 kuai4 shuo1 shen2 me yu3 yan2? ;What languages can you speak?;8
401;海鸥在大海上飞翔;hai3 ou1 zai4 da4 hai3 shang4 fei1 xiang2 ;Gull flies over the sea.;8
402;能给我一张纸吗？;neng2 ji3 wo3 yi1 zhang1 zhi3 ma?! ;Would you please give me a piece of paper?;8
403;法官把囚犯释放了;fa3 guan1 ba3 qiu2 fan4 shi4 fang4 le ;The judge discharged the prisoner.;8
404;目前生意萧条不振;mu4 qian2 sheng1 yi xiao1 tiao2 bu4 zhen4 ;Business is slack just now.;8
405;圆的轴线是其直径;yuan2 de zhu2 xian4 shi4 qi2 zhi2 jing4! ;The axis of a circle is its diameter.;8
406;婴儿在8点钟出生;ying1 er2 zai84 dian3 zhong1 chu1 sheng1 ;The baby was born on 8 o'clock.;8
407;我对农业一窍不通;wo3 dui4 nong2 ye4 yi1 qiao4 bu4 tong1 ;I know nothing about agriculture.;8
408;希腊位于欧洲南部;xi1 la4 wei4 yu2 ou1 zhou1 nan2 bu4 ;Greece is located in the south of Europe.;8
409;他是一个高大的男孩;ta1 shi4 yi1 ge4 gao1 da4 de nan2 hai2 ;He is a tall boy.;9
410;她从不穿绿色的衣服;ta1 cong2 bu4 chuan1 lu:4 se4 de yi1 fu ;She never wears green.;9
411;我跳舞一点儿也不行;wo3 tiao4 wu3 yi1 dianr3 ye3 bu4 xing4 ;I'm no good at dancing.;9
412;我知道发生了什么事;wo3 zhi1 dao4 fa1 sheng1 le shen2 me shi4 ;I know what happened.;9
413;要么进来,要么出去;yao4 me jin4 lai2 yao4 me chu1 qu4 ;Either come in or go out.;9
414;我解答不了这个难题;wo3 jie3 da2 bu4 liao3 zhe4 ge4 nan2 ti2 ;I can't solve the problem.;9
415;我的头发长得很长了;wo3 de tou2 fa zhang3 de hen3 zhang3 le ;My hair has grown very long.;9
416;这是一个寒冷的早晨;zhe4 shi4 yi1 ge4 han2 leng3 de zao3 chen2 ;It's a chilly morning.;9
417;那条河长300公里;na4 tiao2 he2 zhang3003 gong1 li3 ;The river is 300 kilometers in length.;9
418;嗯,但是你必须等我;en1 dan4 shi4 ni3 bi4 xu1 deng3 wo3 ;Mmm, but you must wait for me.;9
419;我母亲已经五十岁了;wo3 mu3 qin1 yi3 jing1 wu3 shi2 sui4 le ;My mother is fifty years old.;9
420;他提出了一种新理论;ta1 ti2 chu1 le yi1 zhong4 xin1 li3 lun4 ;He put forward a new theory.;9
421;我不知道确切的日子;wo3 bu4 zhi1 dao4 que4 qie4 de ri4 zi ;I don't know the exact date.;9
422;那儿有些彩色的气球;na4 r you3 xie1 cai3 se4 de qi4 qiu2 ;There are some color balloons.;9
423;我儿子上小学三年级;wo3 er2 zi shang4 xiao3 xue2 san1 nian2 ji2! ;My son's in the third grade.;9
424;她的故事使我很感动;ta1 de gu4 shi4 shi3 wo3 hen3 gan3 dong4 ;I was very moved by her story.;9
425;他能跑得和我一样快;ta1 neng2 pao3 de huo4 wo3 yi2 yang4 kuai4 ;He can run as fast as I can.;9
426;这大概正是我要做的;zhe4 da4 gai4 zheng4 shi4 wo3 yao4 zuo4 de ;Maybe that's what I'll do.;9
427;我十二点出去吃午饭;wo3 shi2 er4 dian3 chu1 qu4 ji2 wu3 fan4 ;I go out for lunch at twelve.;9
428;我必须立刻开始工作;wo3 bi4 xu1 li4 ke4 kai1 shi3 gong1 zuo4 ;I must start working at once.;9
429;我正准备打电话给你;wo3 zheng4 zhun3 bei4 da3 dian4 hua4 gei3 ni3 ;I was just about to call you.;9
430;我累得再也走不动了;wo3 lei4 de zai4 ye3 zou3 bu4 dong4 le ;I was too tired to walk any further.;9
431;我昨天买了好几本书;wo3 zuo2 tian1 mai3 le hao3 ji3 ben3 shu1 ;I bought several books yesterday.;9
432;一小时之内我就会到;yi1 xiao3 shi2 zhi1 nei4 wo3 jiu4 kuai4 dao4 ;I'll be coming within an hour.;9
433;那事已提前安排好了;na4 shi4 yi3 ti2 qian2 an1 pai2 hao4 le ;It had been arranged beforehand.;9
434;今天看上去是个晴天;jin1 tian1 kan4 shang4 qu4 shi4 ge4 qing2 tian1 ;Looks like a fine day today.;9
435;吃饭前,我必须洗手;chi1 fan4 qian2 wo3 bi4 xu1 xi3 shou3 ;I must wash my hands before dinner.;9
436;我确实很好,谢谢您;wo3 que4 shi2 hen3 hao3 xie4 xie nin2 ;I'm very well indeed, thank you.;9
437;代我向你们全家问好;dai4 wo3 xiang4 ni3 men quan2 jia1 wen4 hao3 ;Give my best to your family.;9
438;春雨带来了夏日百花;chun1 yu3 dai4 lai2 le xia4 ri4 bai3 hua1 ;Spring rains bring summer flowers.;9
439;孩子们喜欢户外活动;hai2 zi men xi3 huan hu4 wai4 huo2 dong4 ;Children like outdoor activities.;9
440;那男孩忽然哭了起来;na4 nan2 hai2 hu1 ran2 ku1 le qi3 lai ;The boy began crying all of a sudden.;9
441;她离开一个多钟头了;ta1 li2 kai1 yi1 ge4 duo1 zhong1 tou2 le! ;She left little more than an hour ago.;9
442;气候影响了他的健康;qi4 hou4 ying3 xiang3 le ta1 de jian4 kang1 ;The climate affected his health.;9
443;我喜欢在图书馆学习;wo3 xi3 huan zai4 tu2 shu1 guan3 xue2 xi2 ;I like to study in the library.;9
444;在那个班里我跟不上;zai4 nei4 ge4 ban1 li3 wo3 gen1 bu4 shang4 ;I was out of my depth in that class.;9
445;天有点阴,可能下雨;tian1 you3 dian3 yin1 ke3 neng2 xia4 yu3 ;"It's a bit overcast; it might rain.";9
446;她是饭店的女服务员;ta1 shi4 fan4 dian4 de nu:3 fu2 wu4 yuan2 ;She is a waitress in a restaurant.;9
447;他住在学校的宿舍里;ta1 zhu4 zai4 xue2 xiao4 de su4 she4 li3 ;He hangs out in the school dormitory.;9
448;我的新家在第十六层;wo3 de xin1 jia1 zai4 di4 shi2 liu4 ceng2 ;My new house is on the sixteenth floor.;9
449;这座桥现在可以通行;zhe4 zuo4 qiao2 xian4 zai4 ke3 yi3 tong1 xing2 ;The bridge is now open to traffic.;9
450;他一句中文都不会说;ta1 yi1 ju4 Zhong1 wen2 dou1 bu4 hui4 shuo1 ;He couldn't talk a word of Chinese.;9
451;我很少听见他讲汉语;wo3 hen3 shao3 ting1 jian4 ta1 jiang3 Han4 yu3 ;I seldom hear he speaks Chinese.;9
452;你和你姐姐都这么说;ni3 huo4 ni3 jie3 jie dou1 zhe4 me shuo1 ;You and your sister said so yourselves.;9
453;他说服女儿改变主意;ta1 shuo1 fu2 nu:3 er2 gai3 bian4 zhu3 yi! ;He persuaded his daughter to change her mind.;9
454;这棵苹果树很少结果;zhe4 ke1 ping2 guo3 shu4 hen3 shao3 jie2 guo3 ;The apple tree is seldom fruitful.;9
455;我们都关心她的健康;wo3 men dou1 guan1 xin1 ta1 de jian4 kang1 ;We are all concerned about her health.;9
456;已经出现了一些问题;yi3 jing1 chu1 xian4 le yi1 xie1 wen4 ti2! ;A number of (i.e. some) problems have arisen.;9
457;那个学生昨天丢了书;nei4 ge4 xue2 sheng zuo2 tian1 diu1 le shu1 ;That student lost his book yesterday.;9
458;领导做了英明的决定;ling3 dao3 zuo4 le ying1 ming2 de jue2 ding4 ;The leader made a sagacious decision.;9
459;他的意见没多少影响;ta1 de yi4 jian4 mo4 duo1 shao ying3 xiang3 ;His opinion doesn't carry much weight.;9
460;他胜过他班中的同学;ta1 sheng4 guo4 ta1 ban1 zhong4 di4 tong2 xue2 ;He got the better of his classmates.;9
461;云是天空中的水汽团;yun2 shi4 tian1 kong1 zhong4 di4 shui3 qi4 tuan2 ;A cloud is a mass of vapor in the sky.;9
462;还好我们没有跟着他;hai2 hao3 wo3 men mei2 you3 gen1 zhe ta1 ;It is just as well that we did not follow him.;9
463;我中午通常只吃点心;wo3 zhong1 wu3 tong1 chang2 zhi3 ji2 dian3 xin1! ;Usually I only have a snack at lunchtime.;9
464;她走进内室去换衣服;ta1 zou3 jin4 nei4 shi4 qu4 huan4 yi1 fu ;She went into the inner room to change her dress.;9
465;丰年时人人都吃得饱;feng1 nian2 shi2 ren2 ren2 dou1 ji2 de bao3 ;In years of plenty everyone has plenty to eat.;9
466;他想当医生或者经商;ta1 xiang3 dang4 yi1 sheng1 huo4 zhe3 jing1 shang1! ;He wants to be a doctor or go into business.;9
467;今年的开始将会更好;jin1 nian2 de kai1 shi3 jiang1 hui4 geng4 hao3 ;The commencement of this year will be better.;9
468;青少年是身体成熟期;qing1 shao4 nian2 shi4 shen1 ti3 cheng2 shu2 qi1 ;Teenage is the period at which the body reaches maturity.;9
469;我的主修科目是法语;wo3 de zhu3 xiu1 ke1 mu4 shi4 fa3 yu3 ;My major is French.;9
470;我上九点至五点的班;wo3 shang4 jiu3 dian3 zhi4 wu3 dian3 de ban1! ;I work nine to five.;9
471;他推我,我跌了下来;ta1 tui1 wo3 wo3 die1 le xia lai ;He pushed me and I fell over.;9
472;他刮胡须时割破了脸;ta1 gua1 hu2 xu1 shi2 ge1 po4 le lian3! ;He cut himself/his face shaving.;9
473;未成熟的苹果是酸的;wei4 cheng2 shu2 de ping2 guo3 shi4 suan1 de ;Green apples are sour.;9
474;我妈妈是个家庭妇女;wo3 ma1 ma shi4 ge4 jia1 ting2 fu4 nu:3 ;My mother is a housewife.;9
475;这汤里有鸡肉的味道;zhe4 tang1 li3 you3 ji1 rou4 de wei4 dao ;This soup tastes of chicken.;9
476;他既不会读也不会写;ta1 ji4 bu4 hui4 du2 ye3 bu4 kuai4 xie3 ;He can neither read nor write.;9
477;他的书上个月出版了;ta1 de shu1 shang4 ge4 yue4 chu1 ban3 le ;His book came out last month.;9
478;我给他买了一袋糖果;wo3 ji3 ta1 mai3 le yi1 dai4 tang2 guo3 ;I bought him a packet of sugar.;9
479;她感到了写作的乐趣;ta1 gan3 dao4 le xie3 zuo4 de le4 qu4 ;She discovered the joy of writing.;9
480;二十市斤折合十公斤;er4 shi2 shi4 jin1 zhe2 he2 shi2 gong1 jin1 ;20 jin goes to 10 kilograms.;9
481;让我解释迟到的理由;rang4 wo3 jie3 shi4 chi2 dao4 de li3 you2 ;Let me explain why I was late.;9
482;瓶子的封记已经腐烂;ping2 zi de feng1 ji4 yi3 jing1 fu3 lan4! ;The seal on the bottle has perished.;9
483;她的围巾被油弄脏了;ta1 de wei2 jin1 bei4 you2 nong4 zang1 le ;Her kerchief is dirty with oil.;9
484;那句话突然启发了她;na4 ju4 hua4 tu1 ran2 qi3 fa1 le ta1 ;That sentence suddenly illumined her.;9
485;我有一大堆工作要做;wo3 you3 yi1 da4 dui1 gong1 zuo4 yao4 zuo4 ;I have a mountain of work to do.;9
486;这个信封封得很严实;zhe4 ge4 xin4 feng1 feng1 de hen3 yan2 shi2 ;The envelope was firmly sealed.;9
487;见面时,他拥抱了她;jian4 mian4 shi2 ta1 yong1 bao4 le ta1 ;He enfolded her when they met.;9
488;昨夜温度是零下五度;zuo2 ye4 wen1 du4 shi4 ling2 xia4 wu3 du4 ;It was five below zero last night.;9
489;地板上铺了一层水泥;di4 ban3 shang4 pu4 le yi1 ceng2 shui3 ni2 ;The floor has been cemented over.;9
490;我打算担任这个工作;wo3 da3 suan4 dan1 ren4 zhe4 ge4 gong1 zuo4 ;I'm planning to take the job.;9
491;落日把天空染成金色;luo4 ri4 ba3 tian1 kong1 ran3 cheng2 jin1 se4 ;The setting sun gilds the sky.;9
492;他的诗集去年发表了;ta1 de shi1 ji2 qu4 nian2 fa1 biao3 le ;His poetry was published last year.;9
493;我通常大概7点起床;wo3 tong1 chang2 da4 gai74 dian3 qi3 chuang2 ;I used to get up at about seven.;9
494;那吗啡是注射进去的;na4 ma3 fei1 shi4 zhu4 she4 jin4 qu4 de! ;The morphine was administered by injection.;9
495;她向她父亲喊叫求救;ta1 xiang4 ta1 fu4 qin1 han3 jiao4 qiu2 jiu4 ;She called to her father for help.;9
496;他躺在沙发上看电视;ta1 tang3 zai4 sha1 fa1 shang4 kan4 dian4 shi4! ;He was lying on the sofa watching TV.;9
497;她推说她觉得很疲劳;ta1 tui1 shuo1 ta1 jue2 de hen3 pi2 lao2 ;She pleaded that she felt very tired.;9
498;我们完全掌握了情势;wo3 men wan2 quan2 zhang3 wo4 le qing2 shi4 ;We have the situation well in hand.;9
499;工人们正在推卷线杆;gong1 ren2 men zheng4 zai4 tui1 juan4 xian4 gan3 ;The worker is pushing the distaff.;9
500;这本杂志发行量很大;zhe4 ben3 za2 zhi4 fa1 xing2 liang4 hen3 da4 ;This magazine has a large circulation.;9
501;欢迎你随时到我们家;huan1 ying2 ni3 sui2 shi2 dao4 wo3 men jia1 ;You are always welcome to our house.;9
502;他的专业是比较文学;ta1 de zhuan1 ye4 shi4 bi3 jiao4 wen2 xue2 ;He majored in comparative literature.;9
503;我们工厂生产磨刀石;wo3 men gong1 chang3 sheng1 chan3 mo4 dao1 shi2 ;Our factory produces grindstone.;9
504;太阳使湿草闪闪发光;tai4 yang2 shi3 shi1 cao3 shan3 shan3 fa1 guang1 ;The wet grass sparkles in the sun.;9
505;这三个学生又逃学了;zhe4 san1 ge4 xue2 sheng you4 tao2 xue2 le ;These three students played truant again.;9
506;请做这个句子的填空;qing3 zuo4 zhe4 ge4 ju4 zi de tian2 kong4 ;Please fill in the blanks in the sentence.;9
507;这条裤子我穿太紧了;zhe4 tiao2 ku4 zi wo3 chuan1 tai4 jin3 le ;This pair of trousers is too tight for me.;9
508;新闻界的力量非常大;xin1 wen2 jie4 de li4 liang fei1 chang2 da4 ;The power of the press is very great.;9
509;一架飞机在机场着陆;yi1 jia4 fei1 ji1 zai4 ji1 chang3 zhuo2 lu4 ;An airplane alighted on the airdrome.;9
510;她每月都存一点儿钱;ta1 mei3 yue4 dou1 cun2 yi1 dianr3 qian2! ;She sets aside a bit of money every month.;9
511;别忘了带上你的钓具;bie4 wang4 le dai4 shang4 ni3 de diao4 ju4 ;Don't forget to bring your fishing tackle.;9
512;这种树木可见于平原;zhe4 zhong3 shu4 mu4 ke3 jian4 yu2 ping2 yuan2 ;Such trees can be found in the plains.;9
513;委员会今天三点开会;wei3 yuan2 hui4 jin1 tian1 san1 dian3 kai1 hui4 ;The committee meets at three today.;9
514;这间办公室里非常吵;zhe4 jian4 ban4 gong1 shi4 li3 fei1 chang2 chao3 ;It's very noisy in this office.;9
515;政府坚持自己的政策;zheng4 fu3 jian1 chi2 zi4 ji3 de zheng4 ce4 ;The government stood pat in its policy.;9
516;他们热烈地欢迎主席;ta1 men re4 lie4 de huan1 ying2 zhu3 xi2 ;They gave the chairman a tumultuous welcome.;9
517;抽彩仪式星期六举行;chou1 cai3 yi2 shi4 xing1 qi1 liu4 ju3 xing2! ;The draw for the raffle takes place on Saturday.;9
518;这药的药效令人满意;zhe4 yao4 de yao4 xiao4 ling4 ren2 man3 yi4 ;The efficacy of the medicine is satisfactory.;9
519;这种食品应低温保存;zhe4 zhong3 shi2 pin3 ying4 di1 wen1 bao3 cun2 ;The food should be kept at low temperature.;9
520;我讨厌他在教室抽烟;wo3 tao3 yan4 ta1 zai4 jiao4 shi4 chou1 yan1 ;I got sick of his smoking in the classroom.;9
521;农民们正在收割大麦;nong2 min2 men zheng4 zai4 shou1 ge1 da4 mai4 ;The peasants are reaping a field of barley.;9
522;我的工资多达一万元;wo3 de gong1 zi1 duo1 da2 yi1 wan4 yuan2 ;I received no less than ten thousand yen for my work.;9
523;少女以前要上仪态课;shao4 nu:3 yi3 qian2 yao4 shang4 yi2 tai4 ke4 ;Young ladies used to have lessons in deportment.;9
