Line;Chinese;Pinyin;Translation;NumberOfWords
721;警察负责执法;jing3 cha2 fu4 ze2 zhi2 fa3 ;The police are responsible for the enforcement of the law.;6
722;他躺在沙发上看电视;ta1 tang3 zai4 sha1 fa1 shang4 kan4 dian4 shi4! ;He was lying on the sofa watching TV.;9
723;请递给我一张纸巾;qing3 di4 ji3 wo3 yi1 zhang1 zhi3 jin1 ;Please pass me a piece of paper handkerchief.;8
724;他向湖里扔了一块石头;ta1 xiang4 hu2 li3 reng1 le yi1 kuai4 shi2 tou ;He threw a stone into the lake.;10
725;她推说她觉得很疲劳;ta1 tui1 shuo1 ta1 jue2 de hen3 pi2 lao2 ;She pleaded that she felt very tired.;9
726;大门太窄,汽车进不去;da4 men2 tai4 zhai3 qi4 che1 jin4 bu4 qu4 ;The gate is too narrow for a car.;10
727;她给孩子们每人一美元;ta1 ji3 hai2 zi men mei3 ren2 yi1 mei3 yuan2 ;She gave the boys a dollar apiece.;10
728;土太干了,不能种东西;tu3 tai4 gan4 le bu4 neng2 zhong4 dong1 xi ;The soil is too dry for planting.;10
729;他的态度带有几分傲慢;ta1 de tai4 du dai4 you3 ji3 fen4 ao4 man4 ;His manner partakes of insolence.;10
730;我们完全掌握了情势;wo3 men wan2 quan2 zhang3 wo4 le qing2 shi4 ;We have the situation well in hand.;9
731;工人们正在推卷线杆;gong1 ren2 men zheng4 zai4 tui1 juan4 xian4 gan3 ;The worker is pushing the distaff.;9
732;这本杂志发行量很大;zhe4 ben3 za2 zhi4 fa1 xing2 liang4 hen3 da4 ;This magazine has a large circulation.;9
733;欢迎你随时到我们家;huan1 ying2 ni3 sui2 shi2 dao4 wo3 men jia1 ;You are always welcome to our house.;9
734;他的专业是比较文学;ta1 de zhuan1 ye4 shi4 bi3 jiao4 wen2 xue2 ;He majored in comparative literature.;9
735;我们工厂生产磨刀石;wo3 men gong1 chang3 sheng1 chan3 mo4 dao1 shi2 ;Our factory produces grindstone.;9
736;这是独一无二的艺术作品;zhe4 shi4 du2 yi1 wu2 er4 de yi4 shu4 zuo4 pin3 ;It's a unique work of art.;11
737;太阳使湿草闪闪发光;tai4 yang2 shi3 shi1 cao3 shan3 shan3 fa1 guang1 ;The wet grass sparkles in the sun.;9
738;费了半天劲才划到岸边;fei4 le ban4 tian1 jing4 cai2 hua4 dao4 an4 bian1! ;It was a long pull to the shore.;10
739;这三个学生又逃学了;zhe4 san1 ge4 xue2 sheng you4 tao2 xue2 le ;These three students played truant again.;9
740;请做这个句子的填空;qing3 zuo4 zhe4 ge4 ju4 zi de tian2 kong4 ;Please fill in the blanks in the sentence.;9
741;他从箱子里拿出一本书;ta1 zong4 xiang1 zi3 li3 na2 chu1 yi1 ben3 shu1 ;He took out a book from the case.;10
742;所有的灯都闪了一会儿;suo3 you3 de deng1 dou1 shan3 le yi1 huir4 ;All the lights flickered for a moment.;10
743;这条裤子我穿太紧了;zhe4 tiao2 ku4 zi wo3 chuan1 tai4 jin3 le ;This pair of trousers is too tight for me.;9
744;新闻界的力量非常大;xin1 wen2 jie4 de li4 liang fei1 chang2 da4 ;The power of the press is very great.;9
745;一架飞机在机场着陆;yi1 jia4 fei1 ji1 zai4 ji1 chang3 zhuo2 lu4 ;An airplane alighted on the airdrome.;9
746;她每月都存一点儿钱;ta1 mei3 yue4 dou1 cun2 yi1 dianr3 qian2! ;She sets aside a bit of money every month.;9
747;他们俩都想得到这职位;ta1 men liang3 dou1 xiang3 de2 dao4 zhe4 zhi2 wei4 ;They both try for the position.;10
748;温度有细微的变化;wen1 du4 you3 xi4 wei1 de bian4 hua4 ;There is an imperceptible change in temperature.;8
749;她在树底下静静地坐着;ta1 zai4 shu4 di3 xia jing4 jing4 de zuo4 zhuo2 ;She sat very still under the tree.;10
750;这座城市已被敌人占领;zhe4 zuo4 cheng2 shi4 yi3 bei4 di2 ren2 zhan4 ling3 ;The city is held by the enemy.;10
751;查理一世统治英国11年;zha1 li3 yi1 shi4 tong3 zhi4 Ying1 guo211 nian2 ;Charles ruled England for 11 years.;11
752;别忘了带上你的钓具;bie4 wang4 le dai4 shang4 ni3 de diao4 ju4 ;Don't forget to bring your fishing tackle.;9
753;这种树木可见于平原;zhe4 zhong3 shu4 mu4 ke3 jian4 yu2 ping2 yuan2 ;Such trees can be found in the plains.;9
754;这消息使他们大为吃惊;zhe4 xiao1 xi shi3 ta1 men da4 wei4 chi1 jing1 ;The news greatly surprised them.;10
755;山顶上终年积雪;shan1 ding3 shang4 zhong1 nian2 ji1 xue3 ;The mountain peaks are covered with snow all year.;7
756;委员会今天三点开会;wei3 yuan2 hui4 jin1 tian1 san1 dian3 kai1 hui4 ;The committee meets at three today.;9
757;这间办公室里非常吵;zhe4 jian4 ban4 gong1 shi4 li3 fei1 chang2 chao3 ;It's very noisy in this office.;9
758;政府坚持自己的政策;zheng4 fu3 jian1 chi2 zi4 ji3 de zheng4 ce4 ;The government stood pat in its policy.;9
759;这些条件已不复存在了;zhe4 xie tiao2 jian4 yi3 bu4 fu4 cun2 zai4 le ;These conditions no longer obtain.;10
760;请原谅我说了激烈的话;qing3 yuan2 liang4 wo3 shuo1 le ji1 lie4 de hua4 ;Pardon my strong language, please.;10
761;这其中含有真正的危险;zhe4 qi2 zhong1 han2 you3 zhen1 zheng4 de wei1 xian3 ;Herein lies the real danger.;10
762;你们的运动不断取得进展;ni3 men de yun4 dong4 bu4 duan4 qu3 de2 jin4 zhan3! ;Your campaign is gaining ground.;11
763;他们热烈地欢迎主席;ta1 men re4 lie4 de huan1 ying2 zhu3 xi2 ;They gave the chairman a tumultuous welcome.;9
764;我一直对心理学感兴趣;wo3 yi1 zhi2 dui4 xin1 li3 xue2 gan3 xing4 qu ;I am always interested in psychology.;10
765;我用了一个邮资已付的信封;wo3 yong4 le yi1 ge4 you2 zi1 yi3 fu4 de xin4 feng1 ;I use a prepaid envelope.;12
766;她把来访者引进屋子里;ta1 ba3 lai2 fang3 zhe3 yin3 jin4 wu1 zi li3 ;She ushered the visitor into the room.;10
767;抽彩仪式星期六举行;chou1 cai3 yi2 shi4 xing1 qi1 liu4 ju3 xing2! ;The draw for the raffle takes place on Saturday.;9
768;他笨手笨脚的漏接了球;ta1 ben4 shou3 ben4 jue2 de lou4 jie1 le qiu2 ;He fumbled the ball and then dropped it.;10
769;这药的药效令人满意;zhe4 yao4 de yao4 xiao4 ling4 ren2 man3 yi4 ;The efficacy of the medicine is satisfactory.;9
770;这种食品应低温保存;zhe4 zhong3 shi2 pin3 ying4 di1 wen1 bao3 cun2 ;The food should be kept at low temperature.;9
771;太阳光直射在我们脸上;tai4 yang2 guang1 zhi2 she4 zai4 wo3 men lian3 shang4 ;The sun was shining in our faces.;10
772;他买了一床厚被子过冬;ta1 mai3 le yi1 chuang2 hou4 bei4 zi guo4 dong1 ;He bought a heavy quilt for the winter.;10
773;我们家附近有片松树林;wo3 men jia1 fu4 jin4 you3 pian4 song1 shu4 lin2 ;There is a pine forest near our house.;10
774;这只钟发出很响的滴答声;zhe4 zhi3 zhong1 fa1 chu1 hen3 xiang3 de di1 da2 sheng1 ;The clock ticks very loudly.;11
775;他没意识到自己犯了错误;ta1 mo4 yi4 shi2 dao4 zi4 ji3 fan4 le cuo4 wu4 ;He was unconscious of his mistake.;11
776;他上午十一点才醒;ta1 shang4 wu3 shi2 yi1 dian3 cai2 xing3 ;He didn't wake up until 11 o'clock in the morning.;8
777;我必须买一节新的干电池了;wo3 bi4 xu1 mai3 yi1 jie2 xin1 de gan4 dian4 chi2 le ;I have to buy a new dry cell.;12
778;她脸上露出愉快的微笑;ta1 lian3 shang4 lu4 chu1 yu2 kuai4 de wei1 xiao4 ;There is a merry smile on her face.;10
779;他推着手推车沿路走过;ta1 tui1 zhu1 shou3 tui1 ju1 yan4 lu4 zou3 guo4 ;He trundled a wheelbarrow down the path.;10
780;我讨厌他在教室抽烟;wo3 tao3 yan4 ta1 zai4 jiao4 shi4 chou1 yan1 ;I got sick of his smoking in the classroom.;9
781;他的眼光转向了电话机;ta1 de yan3 guang1 zhuan3 xiang4 le dian4 hua4 ji1 ;His eyes shifted to the telephone.;10
782;我们在那儿几乎没看见学生;wo3 men zai4 na4 r ji1 hu1 mo4 kan4 jian4 xue2 sheng ;We saw few students there.;12
783;工人们装好了供水系统;gong1 ren2 men zhuang1 hao4 le gong1 shui3 xi4 tong3 ;The workmen fixed the water system.;10
784;道路被一块大石头堵住了;dao4 lu4 bei4 yi1 kuai4 da4 shi2 tou du3 zhu4 le ;The road was blocked by a huge rock.;11
785;他决定到我们的岛上居住;ta1 jue2 ding4 dao4 wo3 men de dao3 shang4 ju1 zhu4 ;He decided to dwell on our island.;11
786;农民们正在收割大麦;nong2 min2 men zheng4 zai4 shou1 ge1 da4 mai4 ;The peasants are reaping a field of barley.;9
787;在第二个转弯处向左转;zai4 di4 er4 ge4 zhuan3 wan1 chu4 xiang4 zuo3 zhuan4 ;Take the second turning on the left.;10
788;他们拿起武器保卫祖国;ta1 men na2 qi3 wu3 qi4 bao3 wei4 zu3 guo2 ;They took up arms in defense of their country.;10
789;有头脑不仅指受过教育;you3 tou2 nao3 bu4 jin3 zhi3 shou4 guo4 jiao4 yu4 ;Brains are more than just education.;10
790;他在最适当的时候到达;ta1 zai4 zui4 shi4 dang4 de shi2 hou dao4 da2 ;He arrived at the most opportune moment.;10
791;她最主要的品质是善良;ta1 zui4 zhu3 yao4 de pin3 zhi4 shi4 shan4 liang2 ;Her most essential quality is kindness.;10
792;这活儿需要细心, 催不得;zhe4 huor2 xu1 yao4 xi4 xin1 cui1 bu4 de2! ;"""This work needs care; it mustn't be hurried.""";12
793;那是一场死气沉沉的演出;na4 shi4 yi1 chang3 si3 qi4 chen2 chen2 de yan3 chu1 ;It was a lifeless performance.;11
794;鱼在这家厂里装成罐头;yu2 zai4 zhe4 jia1 chang3 li3 zhuang1 cheng2 guan4 tou ;The fish is canned in the factory.;10
795;他的人生观与你的不同;ta1 de ren2 sheng1 guan4 yu4 ni3 de bu4 tong2 ;His view of life is different from yours.;10
796;他该保持安静是有必要的;ta1 gai1 bao3 chi2 an1 jing4 shi4 you3 bi4 yao4 de ;It is important that he be quiet.;11
797;所有这些完全都是多余的;suo3 you3 zhe4 xie wan2 quan2 dou1 shi4 duo1 yu2 de ;All this is totally unnecessary.;11
798;她以简练的风格写小说;ta1 yi3 jian3 lian4 de feng1 ge2 xie3 xiao3 shuo1 ;She writes novels with economical style.;10
799;我的工资多达一万元;wo3 de gong1 zi1 duo1 da2 yi1 wan4 yuan2 ;I received no less than ten thousand yen for my work.;9
800;床单的中间部分磨薄了;chuang2 dan1 de zhong1 jian1 bu4 fen mo4 bo4 le ;The sheets have worn thin in the middle.;10
801;法官否决了以前的判决;fa3 guan1 fou3 jue2 le yi3 qian2 de pan4 jue2 ;The judge overruled the previous decision.;10
802;他向我求婚,但我拒绝了;ta1 xiang4 wo3 qiu2 hun1 dan4 wo3 ju4 jue2 le ;He asked me to marry him but I refused.;11
803;吸烟对你的健康没有好处;xi1 yan1 dui4 ni3 de jian4 kang1 mei2 you3 hao3 chu ;Smoking is not good for your health.;11
804;少女以前要上仪态课;shao4 nu:3 yi3 qian2 yao4 shang4 yi2 tai4 ke4 ;Young ladies used to have lessons in deportment.;9
805;我是一名广播电台的听众;wo3 shi4 yi1 ming2 guang3 bo1 dian4 tai2 de ting1 zhong4 ;I am a broadcasting auditor.;11
806;看著课文, 听我给你朗读;kan著4 ke4 wen2 ting4 wo3 ji3 ni3 lang3 du2! ;Follow the text while I read it out to you.;12
807;小偷跳上汽车逃走了;xiao3 tou1 tiao4 shang4 qi4 che1 tao2 zou3 le ;The thief jumped into a car and made his escape.;9
808;他常去那个教堂做礼拜;ta1 chang2 qu4 nei4 ge4 jiao4 tang2 zuo4 li3 bai4 ;He is a regular worshiper at that church.;10
809;我会尽一切可能帮助你;wo3 kuai4 jin4 yi1 qie4 ke3 neng2 bang1 zhu4 ni3 ;I'll do everything possible to help you.;10
810;她用功的程度是我的三倍;ta1 yong4 gong1 de cheng2 du4 shi4 wo3 de san1 bei4 ;She studies three times as hard as I.;11
811;他们在议会中互相吹捧;ta1 men zai4 yi4 hui4 zhong4 hu4 xiang1 chui1 peng3 ;They clawed each other in Parliament.;10
812;这些动物仅在夜间才出来;zhe4 xie dong4 wu4 jin3 zai4 ye4 jian1 cai2 chu1 lai! ;These animals only come out at night.;11
813;我坐电梯上了第十八层;wo3 zuo4 dian4 ti1 shang4 le di4 shi2 ba1 ceng2 ;I took the elevator to the eighteenth floor.;10
814;他经常按他妻子的吩咐去做;ta1 jing1 chang2 an4 ta1 qi1 zi de fen1 fu4 qu4 zuo4 ;He often does his wife's bidding.;12
815;这些球员们配合得很好;zhe4 xie qiu2 yuan2 men pei4 he2 de hen3 hao4 ;These players made a very good combination.;10
816;请示范机器的使用方法;qing3 shi4 fan4 ji1 qi4 de shi3 yong4 fang1 fa3 ;Please demonstrate how the machine works.;10
817;有些啤酒和巧克力有苦味;you3 xie1 pi2 jiu3 huo4 qiao3 ke4 li4 you3 ku3 wei4 ;Some beer and chocolate taste bitter.;11
818;这个小村庄离城市很远;zhe4 ge4 xiao3 cun1 zhuang1 li2 cheng2 shi4 hen3 yuan3 ;This hamlet is distant from the town.;10
819;他太小气,不肯请我们吃饭;ta1 tai4 xiao3 qi4 bu4 ken3 qing3 wo3 men chi1 fan4 ;He's too mean to buy us a meal.;12
820;并不是每个人都喜欢这本书;bing4 bu4 shi4 mei3 ge4 ren2 dou1 xi3 huan zhe4 ben3 shu1 ;Not everyone likes this book.;12
821;信封内装有几份附件;xin4 feng1 nei4 zhuang1 you3 ji3 fen4 fu4 jian4 ;There are several enclosures in the envelope.;9
822;我们是朝正北方向航行;wo3 men shi4 chao2 zheng4 bei3 fang1 xiang4 hang2 xing2 ;Our course was straight to the north.;10
823;在困难面前我们决不退缩;zai4 kun4 nan mian4 qian2 wo3 men jue2 bu4 tui4 suo1 ;We never flinch from difficulties.;11
824;战争使许多家庭妻离子散;zhan4 zheng1 shi3 xu3 duo1 jia1 ting2 qi4 li2 zi3 san4 ;The war separated many families.;11
825;球打在墙上又反弹回来;qiu2 da3 zai4 qiang2 shang4 you4 fan3 dan4 hui2 lai ;The ball hit the wall and bounced off it.;10
826;她年轻时是个有名的美人;ta1 nian2 qing1 shi2 shi4 ge4 you3 ming2 de mei3 ren2! ;She was a famous beauty in her youth.;11
827;这条裤子被改成了短裤;zhe4 tiao2 ku4 zi bei4 gai3 cheng2 le duan3 ku4 ;This pair of pants was converted into shorts.;10
828;彩旗增加了节日的欢乐;cai3 qi2 zeng1 jia1 le jie2 ri4 de huan1 le4 ;Color flags added to the gaiety of the festival.;10
829;我们可以轻松地开始工作;wo3 men ke3 yi3 qing1 song1 de kai1 shi3 gong1 zuo4 ;We can set to work with a light heart.;11
830;律师向我们解释了新法律;lu:4 shi1 xiang4 wo3 men jie3 shi4 le xin1 fa3 lu:4 ;The lawyer explained the new law to us.;11
831;别让她在外边雨中等著;bie4 rang4 ta1 zai4 wai4 bian1 yu3 zhong1 deng著3! ;Don't leave her waiting outside in the rain.;10
832;别忘了给服务员小费;bie4 wang4 le ji3 fu2 wu4 yuan2 xiao3 fei4! ;Please remember (i.e. Don't forget to tip) the waiter.;9
833;数小时后, 他清醒过来;shuo4 xiao3 shi2 hou4 ta1 qing1 xing3 guo4 lai ;It was many hours before he came back to life.;11
834;石墨常被用来做成铅笔;shi2 mo4 chang2 bei4 yong4 lai2 zuo4 cheng2 qian1 bi3 ;Graphite is used in making lead pencils.;10
835;请问我该先买哪个品种;qing3 wen4 wo3 gai1 xian1 mai3 na3 ge pin3 zhong3 ;Please advise me which item I should buy.;10
836;我不和我的老板谈私事;wo3 bu4 he2 wo3 de lao3 ban3 tan2 si1 shi4 ;I don't talk with my boss about my private matters.;10
837;面包主要是由面粉做成的;mian4 bao1 zhu3 yao4 shi4 you2 mian4 fen3 zuo4 cheng2 de ;Bread is chiefly made of flour.;11
838;现在该是填饱肚子的时候了;xian4 zai4 gai1 shi4 tian2 bao3 du4 zi de shi2 hou le ;It's time to satisfy my inner man.;12
839;我们一共捉到10只金丝猴;wo3 men yi2 gong4 zhuo1 da4o01 zhi3 jin1 si1 hou2 ;Altogether we caught ten golden monkeys.;12
840;我们出去吸口新鲜空气吧;wo3 men chu1 qu4 xi1 kou3 xin1 xian1 kong1 qi4 ba ;Let's go out for a breath of fresh air.;11
841;他们又提高了汽油的价格;ta1 men you4 ti2 gao1 le qi4 you2 de jia4 ge2 ;They have increased the price of petrol again.;11
842;学生们手牵手站成一排;xue2 sheng men shou3 qian1 shou3 zhan4 cheng2 yi1 pai2 ;Students stand hand in hand in a row.;10
843;她无疑是本市最好的律师;ta1 wu2 yi2 shi4 ben3 shi4 zui4 hao3 de lu:4 shi1 ;She is easily the best lawyer in the city.;11
844;他们一家常在树林里野餐;ta1 men yi1 jia1 chang2 zai4 shu4 lin2 li3 ye3 can1 ;Their family often picnics in the woods.;11
845;他稍微会一点儿日语;ta1 shao1 wei1 kuai4 yi1 dianr3 ri4 yu3! ;He has some little acquaintance with the Japanese language.;9
846;从前有个美丽的公主...;cong2 qian2 you3 ge4 mei3 li4 de gong1 zhu...3! ;Once upon a time there was a beautiful princess...;12
847;英语现在通用于全世界;Ying1 yu3 xian4 zai4 tong1 yong4 yu2 quan2 shi4 jie4 ;English is spoken all over the world today.;10
848;孩子们整整齐齐排好队;hai2 zi men zheng3 zheng3 qi2 qi2 pai3 hao4 dui4 ;The children lined up in an orderly fashion.;10
849;他似乎把正号误作负号了;ta1 si4 hu ba3 zheng4 hao4 wu4 zuo4 fu4 hao4 le ;He seems to have mistaken a plus for a minus.;11
850;出门之前把窗户关严;chu1 men2 zhi1 qian2 ba3 chuang1 hu guan1 yan2 ;Make the windows secure before leaving the house.;9
851;那位诗人为她写了许多诗;na4 wei4 shi1 ren2 wei4 ta1 xie3 le xu3 duo1 shi1 ;The poet has written many poems for her.;11
852;这种错误会有损你的事业;zhe4 zhong3 cuo4 wu4 kuai4 you3 sun3 ni3 de shi4 ye4 ;Such a mistake would mar your career.;11
853;再呆10个星期,一共3个月;zai4 dai101 ge4 xing1 qi1 yi2 go4ng3 ge4 yue4 ;Another ten weeks three months altogether.;13
854;这封信是用正式文体写的;zhe4 feng1 xin4 shi4 yong4 zheng4 shi4 wen2 ti3 xie3 de ;The letter is written in formal style.;11
855;有些印第安人对我们很友好;you3 xie1 yin4 di4 an1 ren2 dui4 wo3 men hen3 you3 hao3 ;Some Indians are friendly to us.;12
856;他的计划迅速变为现实;ta1 de ji4 hua4 xun4 su4 bian4 wei4 xian4 shi2 ;His plans were transformed overnight into reality.;10
857;星星在晴朗的夜空闪亮;xing1 xing zai4 qing2 lang3 de ye4 kong4 shan3 liang4 ;Stars are brilliant in the clear night sky.;10
858;歉收引起食物严重短缺;qian4 shou1 yin3 qi3 shi2 wu4 yan2 zhong4 duan3 que1 ;The bad harvest led to severe food shortage.;10
859;他不赞成改变党的方针;ta1 bu4 zan4 cheng2 gai3 bian4 dang3 de fang1 zhen1 ;He deprecates changing the party's policy.;10
860;要满足每一个人绝非易事;yao4 man3 zu2 mei3 yi1 ge4 ren2 jue2 fei1 yi4 shi4 ;It is by no means easy to satisfy everyone.;11
861;我心中充满了回家的渴望;wo3 xin1 zhong1 chong1 man3 le hui2 jia1 de ke3 wang4 ;I am filled with desire to go back home.;11
862;这条街比那条街宽三倍;zhe4 tiao2 jie1 bi4 na4 tiao2 jie1 kuan1 san1 bei4 ;This street is three times wider than that one.;10
863;它比另外一个的声音大十倍;ta1 bi4 ling4 wai4 yi1 ge4 de sheng1 yin1 da4 shi2 bei4 ;It is ten times louder than another.;12
864;所有的植物都需要水和阳光;suo3 you3 de zhi2 wu4 dou1 xu1 yao4 shui3 huo4 yang2 guang1 ;All plants need water and light.;12
865;他的行为招致尖锐的批评;ta1 de xing2 wei2 zhao1 zhi4 jian1 rui4 de pi1 ping2 ;His behavior called forth sharp criticism.;11
866;他把醋洒在鱼和土豆片上;ta1 ba3 cu4 sa3 zai4 yu2 huo4 tu3 dou4 pian4 shang4 ;He sprinkled vinegar on his fish and chips.;11
867;请保持在听得见的距离之内;qing3 bao3 chi2 zai4 ting4 de xian4 de ju4 li2 zhi1 nei4 ;Please keep within hearing distance.;12
868;他对自己的缺点十分清楚;ta1 dui4 zi4 ji3 de que1 dian3 shi2 fen1 qing1 chu ;He was very conscious of his shortcomings.;11
869;大多数人的右手是优势手;da4 duo1 shu4 ren2 de you4 shou3 shi4 you1 shi4 shou3 ;The right hand is dominant in most people.;11
870;一阵大风吹来,把门关上了;yi1 zhen4 da4 feng1 chui1 lai2 ba3 men2 guan1 shang4 le ;A gust of wind blew the door shut.;12
871;这顶帽子和鞋子完全相配;zhe4 ding3 mao4 zi huo4 xie2 zi wan2 quan2 xiang1 pei4 ;The hat and shoes are a perfect match.;11
872;我们及早订票以确保有座;wo3 men ji2 zao3 ding4 piao4 yi3 que4 bao3 you3 zuo4 ;We book early to assure ourselves of seats.;11
873;乡村生活确实让人愉快;xiang1 cun1 sheng1 huo2 que4 shi2 rang4 ren2 yu2 kuai4 ;Life in the country is rather delightful.;10
874;这孩子专注地听着童话故事;zhe4 hai2 zi zhuan1 zhu4 de ting4 zhuo2 tong2 hua4 gu4 shi4 ;The child devours fairy tales.;12
875;她穿着一件黑色丝质晚礼服;ta1 chuan1 zhuo2 yi1 jian4 hei1 se4 si1 zhi4 wan3 li3 fu2 ;She wore a black silk evening gown.;12
876;这里的邮政服务很不可靠;zhe4 li3 de you2 zheng4 fu2 wu4 hen3 bu4 ke3 kao4 ;The postal service here is very unreliable.;11
877;那孩子正经历困难的阶段;na4 hai2 zi zheng4 jing li4 kun4 nan de jie1 duan4 ;The child is going through a difficult phase.;11
878;警方查获了各种书和磁带;jing3 fang1 cha2 huo4 le ge4 zhong3 shu1 huo4 ci2 dai4! ;The police seized various books and tapes.;11
879;很多树冬天时就掉光了叶子;hen3 duo1 shu4 dong1 tian1 shi2 jiu4 diao4 guang1 le ye4 zi ;Many trees are leafless in winter.;12
880;天空慢慢由蓝色变为红色;tian1 kong1 man4 man4 you2 lan2 se4 bian4 wei4 hong2 se4 ;The sky slowly changed from blue to red.;11
881;啊,好啦,一样白米养百样人嘛;a hao4 la yi2 yang4 bai2 mi3 yang3 bai3 yang4 ren2 ma ;Ah, well, it take all kinds!;14
882;我觉得他好象想要回家;wo3 jue2 de ta1 hao3 xiang4 xiang3 yao4 hui2 jia1 ;It seems to me that be would like to go back home.;10
883;队长带领我们队取得了胜利;dui4 zhang3 dai4 ling3 wo3 men dui4 qu3 de2 le sheng4 li4 ;The captain led our team to victory.;12
884;乘飞机旅行前他紧张不安;cheng2 fei1 ji1 lu:3 xing2 qian2 ta1 jin3 zhang1 bu4 an1 ;He was nervous before the plane trip.;11
885;他警告我晚上不要到那去;ta1 jing3 gao4 wo3 wan3 shang bu4 yao4 dao4 na4 qu4 ;He warned me against going there at night.;11
886;这个淡水湖里有许多种鱼;zhe4 ge4 dan4 shui3 hu2 li3 you3 xu3 duo1 zhong4 yu2 ;There are many fish in this freshwater lake.;11
887;网球俱乐部组织了一次舞会;wang3 qiu2 ju4 yue4 bu4 zu3 zhi1 le yi1 ci4 wu3 hui4 ;The tennis club has organized a dance.;12
888;参加考试的人大多数语法及格;can1 jia1 kao3 shi4 de ren2 da4 duo1 shu4 yu3 fa3 ji2 ge2! ;Most candidates passed in grammar.;13
889;窗外的树木挡住了阳光;chuang1 wai4 de shu4 mu4 dang4 zhu4 le yang2 guang1 ;The trees outside the window blocked off the sun.;10
890;没有人能够成功而不努力;mei2 you3 ren2 neng2 gou4 cheng2 gong1 er2 bu4 nu3 li4 ;No one can succeed without working hard.;11
891;他骗我把自行车借给了他;ta1 pian4 wo3 ba3 zi4 xing2 che1 jie4 ji3 le ta1 ;He beguiled me into lending him my bicycle.;11
892;冬天是大多数旅馆的淡季;dong1 tian1 shi4 da4 duo1 shu4 lu:3 guan3 de dan4 ji4 ;Winter is the slack season at most hotels.;11
893;他无礼至极,竟然叫我傻瓜;ta1 wu2 li3 zhi4 ji2 jing4 ran2 jiao4 wo3 sha3 gua1 ;He was impudent enough to call me a fool.;12
894;偷吃而不被人发现很有趣;tou1 ji2 er2 bu4 bei4 ren2 fa1 xian4 hen3 you3 qu4 ;It is fun eating by stealth without being found.;11
895;小猫喝了牛奶,又洗了脸;xiao3 mao1 he4 le niu2 nai3 you4 xi3 le lian3 ;The little cat drank its milk and washed its face.;11
896;去年冬天,地上积雪很厚;qu4 nian2 dong1 tian1 di4 shang ji1 xue3 hen3 hou4 ;Last winter the snow lay thick on the ground.;11
897;下一次邮递时间是四点钟;xia4 yi1 ci4 you2 di4 shi2 jian1 shi4 si4 dian3 zhong1 ;The next postal delivery is at 4 o'clock.;11
898;这个商人收到了一船茶叶;zhe4 ge4 shang1 ren2 shou1 dao4 le yi1 chuan2 cha2 ye4 ;The merchant had received a shipment of tea.;11
899;她错在没有亲自与他见面;ta1 cuo4 zai4 mei2 you3 qin1 zi4 yu4 ta1 jian4 mian4 ;She erred in failing to meet him in person.;11
900;大家的反应如何难以估计;da4 jia1 de fan3 ying4 ru2 he2 nan2 yi3 gu1 ji4 ;It was difficult to gauge how people would respond.;11
901;他用一张小的王牌吃了我的A牌;ta1 yong4 yi1 zhang1 xiao3 de wang2 pai2 ji2 le wo3 deA pai2 ;He took my ace with a low trump.;14
902;你刚才讲的话彻底离题了;ni3 gang1 cai2 jiang3 de hua4 che4 di3 li2 ti2 le ;What you just said is completely off the track.;11
903;他以晓之以礼的态度劝说她;ta1 yi3 xiao3 zhi1 yi3 li3 de tai4 du quan4 shuo1 ta1 ;He talked to her with persuasive manner.;12
904;她把她的意思解释得清清楚楚;ta1 ba3 ta1 de yi4 si jie3 shi4 de qing1 qing1 chu chu3 ;She made her meaning crystal clear.;13
905;对这类事情的兴趣慢慢减少了;dui4 zhe4 lei4 shi4 qing de xing4 qu man4 man4 jian3 shao3 le ;Interest lags in such matters.;13
906;这条线是那条线的四倍长;zhe4 tiao2 xian4 shi4 na4 tiao2 xian4 de si4 bei4 zhang3 ;This line is four times as long as that one.;11
907;我想讲一下这首诗的意义;wo3 xiang3 jiang3 yi1 xia4 zhe4 shou3 shi1 de yi4 yi4 ;I want to bring out the meaning of the poem.;11
908;散装运送货物更方便;san4 zhuang1 yun4 song4 huo4 wu4 geng4 fang1 bian4 ;It is more convenient to transport the goods in bulk.;9
909;老年人冬季需要暖和的衣服;lao3 nian2 ren2 dong1 ji4 xu1 yao4 nuan3 huo2 de yi1 fu ;Old people need warm clothes in winter.;12
910;头版上有些有意思的消息;tou2 ban3 shang4 you3 xie1 you3 yi4 si de xiao1 xi! ;There's something interesting on the front page.;11
911;留心那条狗, 有时候咬人;liu2 xin1 na4 tiao2 gou3 you3 shi2 hou yao3 ren2! ;"""Be careful of the dog; it sometimes bites people.""";12
912;请于每段第一行缩格书写;qing3 yu2 mei3 duan4 di4 yi1 xing4 suo1 ge2 shu1 xie3 ;Please indent the first line of each paragraph.;11
913;我父亲喜欢在饭后用牙签;wo3 fu4 qin1 xi3 huan zai4 fan4 hou4 yong4 ya2 qian1 ;My father likes to use toothpick after meals.;11
914;警方正在忙着捕捉逃犯;jing3 fang1 zheng4 zai4 mang2 zhuo2 bu3 zhuo1 tao2 fan4 ;The police are on the run to catch the murderer.;10
915;我往平底锅里打了两个鸡蛋;wo3 wang4 ping2 di3 guo1 li3 da3 le liang3 ge4 ji1 dan4 ;I cracked two eggs into the frying pan.;12
